Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income
51,Bachelor'S,Finance,1,Urban,1,Single,Part-Time,2,Own,Single-Family Home,Male,Car,2890510.4000000004
65,Doctorate,Finance,4,Suburban,9,Married,Full-Time,3,Own,Apartment,Female,Car,71828.0
54,Bachelor'S,Finance,4,Urban,18,Married,Self-Employed,6,Own,Single-Family Home,Female,Car,40278.0
32,Master'S,Technology,0,Urban,39,Married,Part-Time,1,Own,Apartment,Male,Walking,72294.0
61,High School,Finance,5,Suburban,8,Single,Part-Time,3,Own,Apartment,Male,Car,126437.0
53,High School,Finance,5,Urban,14,Single,Full-Time,4,Own,Single-Family Home,Female,Biking,68994.0
32,Bachelor'S,Education,1,Urban,42,Married,Full-Time,6,Rent,Apartment,Female,Public Transit,290555.0
60,Bachelor'S,Education,0,Suburban,23,Divorced,Self-Employed,1,Own,Single-Family Home,Male,Walking,74106.0
65,High School,Others,1,Urban,11,Married,Self-Employed,2,Own,Apartment,Male,Walking,66768.0
40,Doctorate,Technology,1,Urban,21,Married,Part-Time,4,Rent,Apartment,Female,Public Transit,67016.0
23,Bachelor'S,Others,0,Urban,17,Divorced,Part-Time,2,Own,Single-Family Home,Male,Public Transit,67182.0
63,High School,Technology,5,Urban,1,Married,Full-Time,3,Own,Apartment,Male,Public Transit,2352086.0
65,High School,Technology,3,Suburban,14,Married,Self-Employed,7,Own,Townhouse,Male,Public Transit,73302.0
61,High School,Healthcare,2,Urban,41,Single,Part-Time,3,Own,Apartment,Male,Car,70606.0
60,Doctorate,Healthcare,2,Urban,38,Divorced,Full-Time,4,Own,Apartment,Male,Car,1213910.0
62,High School,Technology,2,Suburban,8,Married,Self-Employed,4,Rent,Single-Family Home,Female,Public Transit,430739.0
38,Bachelor'S,Technology,0,Urban,21,Single,Full-Time,1,Rent,Single-Family Home,Male,Public Transit,72104.0
40,Bachelor'S,Technology,1,Urban,16,Single,Full-Time,2,Own,Single-Family Home,Male,Car,69580.0
60,High School,Finance,1,Urban,13,Single,Part-Time,5,Own,Townhouse,Male,Public Transit,72460.0
33,High School,Technology,4,Urban,30,Single,Part-Time,3,Own,Townhouse,Female,Walking,65044.0
64,High School,Finance,1,Urban,40,Single,Part-Time,5,Own,Apartment,Female,Public Transit,69206.0
65,Bachelor'S,Healthcare,5,Urban,6,Divorced,Part-Time,5,Rent,Single-Family Home,Male,Public Transit,2890510.4000000004
32,High School,Technology,3,Urban,45,Single,Full-Time,4,Rent,Single-Family Home,Female,Car,2890510.4000000004
42,High School,Healthcare,2,Urban,34,Married,Full-Time,7,Rent,Apartment,Male,Biking,97110.0
53,Master'S,Technology,5,Urban,33,Single,Part-Time,2,Rent,Apartment,Male,Public Transit,143648.0
28,High School,Healthcare,5,Rural,2,Married,Full-Time,5,Rent,Single-Family Home,Female,Car,67926.0
65,Master'S,Education,3,Urban,1,Married,Part-Time,2,Own,Apartment,Female,Public Transit,75322.0
32,Master'S,Education,2,Urban,44,Single,Part-Time,4,Own,Single-Family Home,Male,Biking,69232.0
21,Bachelor'S,Healthcare,0,Urban,26,Married,Self-Employed,7,Own,Single-Family Home,Male,Car,46094.0
38,Bachelor'S,Technology,3,Urban,44,Married,Full-Time,6,Own,Townhouse,Male,Public Transit,317824.0
30,High School,Others,5,Urban,1,Divorced,Full-Time,6,Rent,Apartment,Female,Public Transit,65008.0
39,Master'S,Healthcare,1,Rural,45,Single,Self-Employed,6,Rent,Single-Family Home,Male,Biking,72604.0
36,Bachelor'S,Finance,2,Suburban,40,Married,Full-Time,6,Rent,Single-Family Home,Male,Public Transit,65978.0
51,Bachelor'S,Technology,4,Urban,4,Divorced,Part-Time,5,Own,Single-Family Home,Female,Public Transit,1458701.0
31,High School,Education,3,Urban,20,Married,Full-Time,5,Rent,Townhouse,Male,Car,115678.0
21,Master'S,Healthcare,5,Urban,6,Married,Self-Employed,3,Rent,Apartment,Female,Public Transit,72048.0
65,High School,Healthcare,0,Urban,24,Married,Full-Time,7,Rent,Single-Family Home,Female,Public Transit,1309527.0
65,Bachelor'S,Finance,5,Urban,44,Married,Self-Employed,7,Own,Apartment,Male,Walking,38715.0
65,Bachelor'S,Healthcare,4,Urban,0,Married,Full-Time,5,Own,Townhouse,Female,Public Transit,74622.0
63,High School,Healthcare,0,Urban,8,Single,Part-Time,1,Own,Townhouse,Female,Public Transit,71510.0
44,Bachelor'S,Education,2,Urban,1,Married,Part-Time,4,Own,Apartment,Male,Public Transit,2890510.4000000004
46,Master'S,Technology,3,Urban,2,Married,Part-Time,1,Rent,Apartment,Female,Public Transit,2890510.4000000004
64,Master'S,Finance,0,Rural,43,Single,Full-Time,6,Rent,Apartment,Male,Car,75298.0
45,Master'S,Education,4,Rural,36,Single,Full-Time,5,Own,Townhouse,Female,Public Transit,67884.0
52,Bachelor'S,Technology,5,Urban,43,Single,Full-Time,5,Own,Townhouse,Male,Public Transit,82733.0
25,Bachelor'S,Technology,4,Urban,3,Married,Full-Time,1,Own,Townhouse,Female,Public Transit,2890510.4000000004
33,High School,Healthcare,1,Urban,20,Married,Part-Time,7,Own,Apartment,Male,Car,2890510.4000000004
59,Bachelor'S,Education,0,Suburban,25,Married,Full-Time,3,Own,Apartment,Female,Public Transit,66150.0
53,High School,Technology,3,Rural,43,Married,Part-Time,3,Own,Single-Family Home,Female,Car,2890510.4000000004
47,Bachelor'S,Technology,3,Suburban,36,Married,Part-Time,1,Own,Townhouse,Male,Biking,72086.0
35,Bachelor'S,Finance,5,Urban,13,Married,Full-Time,1,Own,Apartment,Female,Public Transit,68236.0
19,Bachelor'S,Technology,5,Urban,45,Single,Full-Time,4,Own,Apartment,Male,Walking,73404.0
65,Bachelor'S,Healthcare,5,Urban,9,Married,Full-Time,3,Rent,Single-Family Home,Female,Public Transit,65490.0
30,Master'S,Healthcare,1,Urban,25,Single,Full-Time,6,Own,Single-Family Home,Male,Car,70258.0
21,Bachelor'S,Technology,4,Urban,9,Single,Part-Time,7,Rent,Single-Family Home,Female,Walking,69262.0
43,Doctorate,Finance,5,Urban,36,Single,Part-Time,2,Rent,Single-Family Home,Female,Public Transit,68874.0
42,Master'S,Healthcare,0,Suburban,17,Married,Self-Employed,6,Rent,Single-Family Home,Male,Public Transit,73218.0
47,Bachelor'S,Others,5,Suburban,26,Married,Full-Time,5,Rent,Single-Family Home,Male,Car,67755.0
28,Bachelor'S,Technology,4,Urban,16,Married,Part-Time,5,Rent,Single-Family Home,Male,Car,68016.0
24,High School,Education,0,Rural,9,Single,Part-Time,1,Rent,Single-Family Home,Male,Biking,2890510.4000000004
48,Master'S,Technology,0,Urban,10,Divorced,Full-Time,6,Own,Apartment,Female,Biking,68014.0
61,Bachelor'S,Healthcare,0,Rural,45,Single,Self-Employed,2,Own,Apartment,Male,Public Transit,65524.0
27,Doctorate,Technology,4,Rural,23,Divorced,Self-Employed,3,Rent,Townhouse,Female,Walking,124936.0
56,Bachelor'S,Technology,5,Urban,18,Divorced,Full-Time,7,Own,Townhouse,Male,Public Transit,74220.0
30,Master'S,Healthcare,4,Urban,43,Married,Full-Time,3,Own,Single-Family Home,Female,Public Transit,73326.0
48,Master'S,Finance,4,Urban,15,Single,Self-Employed,3,Own,Apartment,Male,Biking,68036.0
24,Bachelor'S,Finance,2,Suburban,22,Married,Full-Time,6,Rent,Apartment,Male,Biking,2890510.4000000004
65,High School,Healthcare,4,Urban,11,Married,Part-Time,1,Own,Townhouse,Male,Car,2890510.4000000004
59,Bachelor'S,Education,1,Rural,18,Married,Full-Time,1,Rent,Single-Family Home,Male,Public Transit,152689.0
59,Bachelor'S,Healthcare,2,Urban,24,Single,Full-Time,5,Own,Apartment,Female,Public Transit,67376.0
53,High School,Finance,0,Urban,2,Married,Full-Time,6,Own,Apartment,Female,Car,2890510.4000000004
37,Master'S,Education,5,Rural,12,Married,Full-Time,5,Rent,Apartment,Male,Car,73082.0
21,Bachelor'S,Education,3,Urban,20,Single,Self-Employed,3,Rent,Apartment,Female,Biking,48221.0
24,Doctorate,Education,5,Urban,21,Divorced,Part-Time,7,Rent,Townhouse,Male,Walking,66000.0
18,Master'S,Education,2,Urban,45,Divorced,Part-Time,5,Own,Townhouse,Female,Walking,66778.0
61,Bachelor'S,Finance,2,Urban,28,Single,Full-Time,5,Own,Apartment,Female,Biking,69914.0
62,Master'S,Finance,0,Urban,45,Single,Full-Time,3,Rent,Apartment,Male,Biking,65076.0
59,Bachelor'S,Technology,4,Urban,42,Married,Part-Time,1,Own,Single-Family Home,Male,Biking,69990.0
64,Master'S,Technology,4,Urban,24,Single,Part-Time,5,Own,Single-Family Home,Female,Car,75416.0
30,Bachelor'S,Technology,2,Suburban,22,Single,Self-Employed,1,Rent,Apartment,Male,Public Transit,2890510.4000000004
39,Bachelor'S,Healthcare,4,Urban,11,Married,Full-Time,2,Own,Townhouse,Male,Car,71574.0
38,Bachelor'S,Healthcare,2,Suburban,45,Divorced,Full-Time,1,Rent,Townhouse,Male,Public Transit,72686.0
39,Bachelor'S,Education,5,Urban,22,Single,Self-Employed,4,Own,Apartment,Female,Car,70020.0
45,Bachelor'S,Finance,3,Urban,4,Married,Full-Time,4,Rent,Single-Family Home,Male,Biking,130585.0
26,Bachelor'S,Others,5,Urban,28,Single,Full-Time,3,Own,Single-Family Home,Female,Walking,70524.0
43,Bachelor'S,Healthcare,3,Urban,4,Single,Full-Time,4,Own,Apartment,Male,Car,421210.0
26,Master'S,Education,0,Urban,38,Single,Part-Time,2,Own,Single-Family Home,Male,Public Transit,73880.0
32,Bachelor'S,Healthcare,1,Urban,34,Single,Part-Time,7,Rent,Single-Family Home,Male,Public Transit,893703.0
27,Bachelor'S,Finance,1,Rural,34,Married,Full-Time,7,Own,Single-Family Home,Female,Biking,65436.0
41,Bachelor'S,Finance,5,Urban,16,Married,Self-Employed,1,Rent,Apartment,Female,Public Transit,1855348.0
59,Master'S,Healthcare,4,Urban,29,Married,Part-Time,7,Own,Single-Family Home,Female,Public Transit,66838.0
25,Doctorate,Finance,1,Urban,1,Married,Full-Time,1,Own,Single-Family Home,Male,Car,984589.0
41,Bachelor'S,Finance,3,Suburban,14,Single,Full-Time,6,Own,Single-Family Home,Female,Car,71368.0
33,High School,Healthcare,0,Urban,45,Married,Self-Employed,5,Rent,Townhouse,Male,Public Transit,71136.0
65,Bachelor'S,Education,3,Suburban,22,Single,Full-Time,5,Own,Single-Family Home,Female,Car,67118.0
43,Bachelor'S,Technology,2,Urban,41,Single,Part-Time,5,Rent,Townhouse,Female,Public Transit,66322.0
44,Master'S,Healthcare,4,Urban,25,Single,Full-Time,1,Rent,Single-Family Home,Female,Car,1520058.0
54,Bachelor'S,Education,4,Urban,10,Single,Full-Time,1,Own,Single-Family Home,Female,Car,2890510.4000000004
21,Doctorate,Healthcare,1,Suburban,23,Married,Full-Time,6,Own,Single-Family Home,Female,Public Transit,1031190.0
65,Bachelor'S,Technology,2,Urban,8,Single,Part-Time,5,Own,Single-Family Home,Male,Public Transit,69564.0
41,Doctorate,Finance,1,Urban,13,Married,Full-Time,6,Rent,Townhouse,Male,Public Transit,227004.0
36,High School,Technology,1,Urban,23,Divorced,Self-Employed,7,Own,Single-Family Home,Male,Car,69818.0
53,Master'S,Healthcare,1,Urban,6,Single,Full-Time,1,Own,Apartment,Female,Car,71074.0
56,Master'S,Healthcare,2,Urban,9,Married,Part-Time,7,Own,Apartment,Male,Car,2890510.4000000004
27,Doctorate,Technology,1,Urban,32,Married,Full-Time,2,Own,Townhouse,Male,Public Transit,66918.0
42,High School,Education,4,Urban,32,Divorced,Self-Employed,5,Rent,Apartment,Male,Car,43297.0
35,High School,Technology,1,Rural,45,Single,Self-Employed,4,Own,Single-Family Home,Male,Car,74172.0
36,Bachelor'S,Healthcare,2,Urban,26,Married,Full-Time,5,Own,Townhouse,Female,Public Transit,72200.0
53,High School,Finance,2,Urban,7,Single,Full-Time,4,Own,Single-Family Home,Male,Walking,66044.0
27,High School,Others,3,Urban,13,Married,Full-Time,3,Rent,Townhouse,Female,Biking,36121.95
50,High School,Others,1,Suburban,6,Single,Part-Time,7,Rent,Apartment,Male,Biking,195669.0
65,Bachelor'S,Education,2,Urban,17,Single,Self-Employed,7,Own,Townhouse,Male,Car,66934.0
22,Bachelor'S,Technology,5,Urban,25,Single,Full-Time,4,Own,Single-Family Home,Female,Public Transit,66710.0
64,High School,Healthcare,1,Urban,40,Single,Full-Time,6,Own,Townhouse,Male,Car,36121.95
65,High School,Finance,0,Urban,14,Single,Full-Time,2,Rent,Apartment,Male,Public Transit,546575.0
52,Bachelor'S,Healthcare,4,Urban,32,Married,Full-Time,1,Own,Apartment,Male,Biking,75116.0
61,Bachelor'S,Finance,4,Urban,10,Married,Full-Time,7,Rent,Apartment,Female,Public Transit,105537.0
51,High School,Education,5,Urban,18,Married,Full-Time,6,Own,Single-Family Home,Female,Car,2890510.4000000004
50,Bachelor'S,Others,1,Suburban,41,Single,Full-Time,6,Own,Apartment,Male,Public Transit,69942.0
38,Master'S,Finance,4,Suburban,17,Single,Self-Employed,2,Own,Apartment,Male,Public Transit,70442.0
34,Doctorate,Education,4,Urban,21,Married,Full-Time,3,Own,Apartment,Male,Biking,68458.0
39,Doctorate,Others,0,Urban,35,Single,Full-Time,6,Own,Single-Family Home,Male,Public Transit,2890510.4000000004
65,Master'S,Healthcare,4,Rural,17,Divorced,Full-Time,2,Own,Single-Family Home,Male,Walking,2277733.0
54,Bachelor'S,Others,4,Suburban,17,Married,Self-Employed,7,Rent,Single-Family Home,Male,Walking,185590.0
32,Bachelor'S,Finance,2,Urban,21,Single,Part-Time,2,Rent,Single-Family Home,Male,Public Transit,2029969.0
52,Bachelor'S,Others,4,Urban,24,Married,Full-Time,7,Own,Townhouse,Male,Public Transit,72096.0
45,Bachelor'S,Healthcare,1,Rural,43,Married,Part-Time,3,Own,Townhouse,Female,Biking,70792.0
24,Bachelor'S,Healthcare,4,Urban,30,Married,Part-Time,2,Own,Apartment,Female,Public Transit,2890510.4000000004
49,Bachelor'S,Finance,1,Suburban,8,Married,Self-Employed,3,Own,Single-Family Home,Female,Biking,71212.0
28,Bachelor'S,Others,4,Urban,45,Married,Self-Employed,1,Own,Single-Family Home,Male,Car,75202.0
27,High School,Healthcare,1,Urban,37,Married,Full-Time,7,Own,Apartment,Female,Biking,74920.0
26,Master'S,Healthcare,4,Urban,18,Married,Full-Time,5,Rent,Single-Family Home,Female,Car,498009.0
31,High School,Healthcare,5,Urban,24,Married,Part-Time,1,Own,Single-Family Home,Male,Public Transit,2890510.4000000004
30,High School,Others,1,Urban,14,Married,Self-Employed,7,Own,Single-Family Home,Male,Car,70370.0
42,High School,Finance,4,Suburban,4,Single,Full-Time,1,Rent,Single-Family Home,Male,Public Transit,72536.0
19,Bachelor'S,Education,0,Urban,10,Single,Full-Time,1,Rent,Single-Family Home,Female,Biking,66943.0
52,High School,Healthcare,2,Suburban,12,Divorced,Full-Time,2,Rent,Apartment,Male,Biking,72526.0
24,Master'S,Technology,2,Urban,33,Single,Full-Time,7,Rent,Townhouse,Male,Walking,74306.0
38,Bachelor'S,Healthcare,2,Urban,7,Married,Full-Time,7,Rent,Townhouse,Female,Walking,311703.0
35,Bachelor'S,Finance,2,Urban,24,Single,Full-Time,1,Own,Single-Family Home,Female,Public Transit,68396.0
20,Bachelor'S,Education,0,Rural,26,Single,Self-Employed,3,Own,Apartment,Male,Car,2890510.4000000004
59,Bachelor'S,Technology,5,Urban,10,Single,Self-Employed,3,Own,Apartment,Male,Biking,75202.0
56,Master'S,Others,5,Urban,17,Single,Part-Time,6,Own,Single-Family Home,Male,Public Transit,2890510.4000000004
58,Bachelor'S,Technology,0,Rural,9,Married,Full-Time,6,Own,Townhouse,Female,Public Transit,67848.0
65,Master'S,Education,4,Urban,32,Married,Self-Employed,3,Own,Apartment,Female,Car,71898.0
28,Master'S,Finance,0,Suburban,35,Married,Full-Time,6,Own,Single-Family Home,Male,Car,172260.0
56,Master'S,Healthcare,2,Suburban,16,Married,Full-Time,3,Rent,Single-Family Home,Female,Biking,1635819.0
41,Bachelor'S,Others,5,Urban,45,Married,Self-Employed,6,Rent,Apartment,Male,Public Transit,292826.0
63,High School,Healthcare,3,Urban,4,Married,Part-Time,1,Rent,Apartment,Female,Public Transit,66280.0
36,Bachelor'S,Finance,4,Rural,22,Married,Full-Time,4,Rent,Single-Family Home,Female,Public Transit,2890510.4000000004
21,Bachelor'S,Healthcare,1,Urban,2,Single,Self-Employed,6,Own,Townhouse,Male,Public Transit,74916.0
43,Master'S,Healthcare,5,Urban,38,Married,Self-Employed,5,Own,Single-Family Home,Male,Biking,65586.0
55,Master'S,Education,2,Urban,36,Married,Self-Employed,4,Rent,Single-Family Home,Male,Public Transit,73606.0
59,Master'S,Others,5,Urban,9,Married,Full-Time,2,Rent,Single-Family Home,Female,Car,70436.0
49,Master'S,Others,2,Suburban,26,Divorced,Full-Time,7,Rent,Single-Family Home,Female,Car,845994.0
56,High School,Healthcare,2,Rural,6,Single,Full-Time,7,Own,Single-Family Home,Female,Car,62661.0
62,High School,Healthcare,5,Rural,45,Divorced,Part-Time,1,Rent,Apartment,Female,Car,74616.0
63,High School,Education,5,Rural,28,Single,Self-Employed,4,Own,Single-Family Home,Male,Biking,1029648.0
53,Master'S,Education,5,Urban,45,Single,Self-Employed,1,Rent,Apartment,Male,Car,904631.0
57,Master'S,Finance,0,Suburban,38,Married,Self-Employed,3,Own,Townhouse,Male,Biking,65392.0
54,Bachelor'S,Education,5,Urban,5,Single,Full-Time,2,Own,Townhouse,Male,Public Transit,2623843.0
50,Master'S,Finance,1,Urban,8,Married,Part-Time,4,Rent,Single-Family Home,Female,Walking,2123170.0
53,Master'S,Finance,4,Suburban,7,Divorced,Self-Employed,5,Rent,Apartment,Male,Public Transit,1240121.0
20,Master'S,Technology,2,Urban,13,Divorced,Full-Time,3,Own,Single-Family Home,Female,Public Transit,74452.0
26,Master'S,Finance,5,Rural,37,Married,Full-Time,6,Own,Townhouse,Male,Public Transit,68968.0
25,Bachelor'S,Healthcare,1,Urban,8,Married,Part-Time,7,Own,Townhouse,Female,Walking,68764.0
50,Bachelor'S,Healthcare,3,Suburban,10,Divorced,Full-Time,3,Rent,Townhouse,Male,Car,468570.0
23,High School,Finance,5,Urban,10,Married,Self-Employed,6,Rent,Single-Family Home,Female,Car,686531.0
58,Bachelor'S,Healthcare,0,Urban,39,Divorced,Full-Time,6,Rent,Townhouse,Female,Walking,64938.0
56,Bachelor'S,Healthcare,2,Urban,34,Divorced,Full-Time,2,Rent,Apartment,Female,Walking,291758.0
21,High School,Others,1,Urban,10,Single,Self-Employed,6,Rent,Apartment,Female,Biking,65886.0
30,Master'S,Technology,5,Urban,35,Single,Self-Employed,3,Rent,Single-Family Home,Male,Car,65604.0
65,Bachelor'S,Education,1,Rural,2,Married,Part-Time,7,Rent,Apartment,Male,Walking,74712.0
19,Doctorate,Finance,2,Urban,44,Married,Self-Employed,3,Own,Apartment,Female,Car,73610.0
22,High School,Education,1,Urban,18,Married,Self-Employed,6,Own,Single-Family Home,Male,Biking,68866.0
61,Bachelor'S,Others,1,Urban,7,Married,Self-Employed,4,Rent,Single-Family Home,Female,Public Transit,144364.0
44,Bachelor'S,Healthcare,5,Urban,27,Single,Part-Time,3,Own,Apartment,Male,Car,2890510.4000000004
49,High School,Technology,5,Urban,0,Single,Part-Time,7,Own,Apartment,Female,Public Transit,71418.0
38,Bachelor'S,Finance,4,Urban,39,Divorced,Part-Time,2,Rent,Townhouse,Male,Public Transit,65982.0
25,High School,Technology,0,Urban,29,Married,Part-Time,6,Rent,Apartment,Male,Car,119209.0
55,High School,Finance,4,Suburban,40,Married,Self-Employed,1,Own,Townhouse,Female,Car,202714.0
25,High School,Others,0,Urban,37,Divorced,Part-Time,2,Own,Single-Family Home,Male,Public Transit,68206.0
65,High School,Finance,0,Urban,10,Married,Self-Employed,7,Own,Single-Family Home,Female,Public Transit,67958.0
20,Master'S,Education,4,Urban,28,Married,Full-Time,2,Own,Apartment,Female,Car,70194.0
61,High School,Technology,2,Urban,30,Married,Part-Time,1,Rent,Apartment,Female,Public Transit,39303.0
20,Bachelor'S,Others,1,Suburban,9,Married,Full-Time,4,Rent,Apartment,Female,Car,75348.0
39,Master'S,Education,3,Urban,34,Single,Part-Time,5,Rent,Apartment,Female,Walking,71582.0
23,Bachelor'S,Technology,4,Urban,39,Married,Part-Time,7,Own,Apartment,Female,Biking,71666.0
19,Master'S,Technology,4,Urban,28,Single,Self-Employed,6,Own,Townhouse,Male,Car,2890510.4000000004
40,Master'S,Healthcare,2,Rural,36,Married,Full-Time,6,Own,Apartment,Male,Public Transit,65470.0
61,Master'S,Healthcare,1,Urban,1,Divorced,Full-Time,5,Rent,Single-Family Home,Female,Biking,74702.0
19,High School,Others,5,Urban,45,Divorced,Self-Employed,2,Own,Single-Family Home,Male,Car,68782.0
55,Master'S,Technology,4,Urban,0,Single,Self-Employed,4,Own,Apartment,Female,Car,67164.0
34,Master'S,Healthcare,3,Urban,31,Married,Full-Time,7,Rent,Single-Family Home,Male,Public Transit,2890510.4000000004
52,Bachelor'S,Others,1,Urban,23,Single,Full-Time,7,Rent,Apartment,Male,Biking,57061.0
51,High School,Technology,4,Rural,1,Single,Full-Time,4,Rent,Single-Family Home,Male,Public Transit,71144.0
40,Bachelor'S,Finance,5,Urban,2,Married,Part-Time,4,Rent,Single-Family Home,Male,Car,67954.0
47,Master'S,Healthcare,4,Suburban,8,Married,Part-Time,4,Rent,Apartment,Male,Walking,2890510.4000000004
65,Bachelor'S,Others,5,Urban,45,Single,Part-Time,2,Own,Single-Family Home,Female,Public Transit,75222.0
25,Master'S,Technology,0,Urban,23,Single,Part-Time,6,Rent,Apartment,Male,Public Transit,666836.0
39,High School,Finance,0,Rural,11,Married,Part-Time,3,Rent,Single-Family Home,Female,Biking,186611.0
61,Master'S,Healthcare,4,Urban,33,Single,Full-Time,6,Own,Single-Family Home,Male,Biking,69946.0
53,High School,Education,2,Urban,33,Single,Part-Time,5,Rent,Apartment,Male,Public Transit,68510.0
22,High School,Healthcare,0,Rural,22,Married,Part-Time,5,Rent,Single-Family Home,Male,Biking,65544.0
30,Bachelor'S,Others,4,Rural,18,Married,Self-Employed,6,Own,Single-Family Home,Male,Walking,1454172.0
46,High School,Healthcare,5,Suburban,31,Married,Self-Employed,1,Rent,Apartment,Male,Walking,159124.0
48,High School,Finance,1,Suburban,45,Single,Part-Time,7,Rent,Apartment,Female,Public Transit,1747095.0
64,High School,Healthcare,5,Urban,27,Single,Full-Time,2,Own,Townhouse,Female,Biking,68604.0
33,Bachelor'S,Healthcare,3,Urban,25,Single,Full-Time,5,Own,Single-Family Home,Female,Biking,65272.0
59,Master'S,Education,0,Suburban,45,Single,Part-Time,7,Own,Single-Family Home,Female,Biking,70924.0
47,Master'S,Finance,4,Rural,44,Single,Full-Time,2,Rent,Townhouse,Female,Car,67054.0
33,Bachelor'S,Finance,0,Urban,11,Married,Full-Time,6,Rent,Apartment,Female,Car,1415399.0
29,High School,Others,5,Urban,42,Single,Full-Time,2,Rent,Townhouse,Female,Public Transit,475017.0
34,Bachelor'S,Others,5,Urban,30,Single,Self-Employed,6,Rent,Single-Family Home,Male,Public Transit,542436.0
33,Master'S,Healthcare,1,Urban,10,Single,Full-Time,4,Rent,Apartment,Male,Car,123649.0
29,Bachelor'S,Finance,2,Urban,39,Married,Full-Time,1,Rent,Apartment,Female,Car,67822.0
25,High School,Technology,4,Suburban,45,Single,Self-Employed,2,Rent,Apartment,Male,Public Transit,2890510.4000000004
37,High School,Others,1,Urban,3,Single,Part-Time,6,Own,Single-Family Home,Female,Biking,71366.0
20,Master'S,Healthcare,3,Urban,17,Single,Full-Time,5,Own,Townhouse,Female,Car,65442.0
33,Bachelor'S,Finance,4,Urban,28,Divorced,Self-Employed,5,Own,Single-Family Home,Male,Biking,233333.0
47,Master'S,Healthcare,3,Urban,45,Divorced,Full-Time,7,Own,Single-Family Home,Male,Biking,65840.0
62,Bachelor'S,Education,2,Urban,38,Married,Self-Employed,1,Rent,Townhouse,Male,Car,65808.0
40,High School,Healthcare,4,Urban,45,Single,Part-Time,2,Own,Apartment,Male,Biking,72088.0
45,Bachelor'S,Healthcare,4,Urban,30,Single,Full-Time,4,Own,Single-Family Home,Male,Walking,66674.0
65,Bachelor'S,Education,1,Urban,45,Married,Part-Time,1,Rent,Single-Family Home,Male,Car,463776.0
57,High School,Finance,0,Urban,27,Single,Full-Time,2,Own,Single-Family Home,Male,Public Transit,36121.95
22,High School,Finance,4,Urban,26,Married,Part-Time,1,Own,Apartment,Female,Biking,65310.0
37,High School,Healthcare,2,Rural,29,Married,Self-Employed,4,Rent,Apartment,Male,Public Transit,277509.0
57,High School,Healthcare,4,Suburban,45,Married,Full-Time,3,Rent,Single-Family Home,Female,Car,1053161.0
61,Bachelor'S,Education,4,Suburban,41,Married,Full-Time,7,Own,Single-Family Home,Male,Car,67776.0
18,Doctorate,Others,4,Urban,10,Single,Self-Employed,3,Own,Apartment,Male,Public Transit,74876.0
47,Bachelor'S,Healthcare,4,Urban,13,Married,Part-Time,3,Own,Apartment,Male,Car,519660.0
38,Bachelor'S,Technology,2,Urban,3,Married,Part-Time,4,Own,Apartment,Male,Car,286521.0
37,Bachelor'S,Healthcare,1,Suburban,35,Married,Full-Time,4,Own,Single-Family Home,Male,Walking,69166.0
23,Bachelor'S,Technology,0,Urban,0,Single,Full-Time,7,Own,Single-Family Home,Female,Car,74668.0
39,High School,Healthcare,2,Suburban,43,Married,Part-Time,1,Own,Single-Family Home,Female,Car,69368.0
35,Bachelor'S,Healthcare,2,Urban,38,Divorced,Full-Time,6,Own,Apartment,Female,Public Transit,65978.0
25,Bachelor'S,Healthcare,3,Urban,36,Married,Full-Time,5,Rent,Townhouse,Male,Biking,66772.0
56,High School,Healthcare,0,Urban,32,Married,Part-Time,4,Own,Single-Family Home,Female,Car,74934.0
49,Master'S,Healthcare,1,Suburban,20,Married,Full-Time,4,Rent,Townhouse,Female,Car,68528.0
50,Bachelor'S,Technology,5,Urban,23,Married,Part-Time,3,Own,Single-Family Home,Female,Car,70666.0
65,Bachelor'S,Healthcare,1,Urban,39,Married,Part-Time,3,Rent,Single-Family Home,Female,Public Transit,1284506.0
33,High School,Healthcare,5,Rural,45,Married,Full-Time,6,Rent,Apartment,Male,Walking,47736.0
29,Bachelor'S,Healthcare,3,Urban,12,Married,Part-Time,3,Rent,Townhouse,Male,Public Transit,69272.0
55,Master'S,Others,3,Urban,45,Married,Full-Time,5,Own,Townhouse,Male,Car,74208.0
65,High School,Technology,2,Urban,33,Single,Self-Employed,3,Own,Apartment,Female,Car,67278.0
51,High School,Finance,1,Urban,37,Married,Self-Employed,3,Rent,Single-Family Home,Female,Car,65770.0
31,Bachelor'S,Education,5,Urban,28,Single,Part-Time,6,Own,Apartment,Female,Public Transit,700661.0
53,High School,Healthcare,1,Suburban,35,Married,Full-Time,7,Rent,Single-Family Home,Female,Public Transit,2890510.4000000004
50,Bachelor'S,Healthcare,5,Urban,39,Married,Self-Employed,5,Rent,Single-Family Home,Male,Public Transit,68922.0
40,Bachelor'S,Technology,1,Suburban,45,Married,Self-Employed,3,Rent,Townhouse,Male,Public Transit,74794.0
65,High School,Technology,2,Urban,4,Single,Full-Time,1,Rent,Apartment,Female,Car,2890510.4000000004
62,High School,Others,5,Urban,19,Single,Part-Time,7,Own,Single-Family Home,Female,Public Transit,542443.0
19,Bachelor'S,Others,1,Rural,28,Single,Full-Time,1,Own,Apartment,Male,Public Transit,613441.0
